SUBJ	QTR	N-S-IS	N-C-IS	PREF-IS	COMF-ISC	N-S-SC	N-C-SC	PREF-SC	COMF-CSC	N-S-IN	N-C-IN	PREF-IN	COMF-INC	N-S-A	N-C-A	PREF-A	COMF-AC	N-S-S	N-C-S	PREF-S	COMF-S	N-S-F	N-C-F	PREF-F	COMF-FC	N-S-FI	N-C-FI	PREF-FI	COMF-FIC	N-S-SCIA	N-C-SCIA	PREF-SCIA	COMF-SCIAC	N-S-POP	N-C-POP	PREF-POP	COMF-POPC	N-S-TAP	N-C-TAP	PREF-TAP	COMF-TAPC	N-S-PARA	N-C-PARA	PREF-PARA	COMF-PARAC	Avgblocksuccessrate(p)	Numberofinadvertentvascularpunturew/oinjection(n)	Numberofintravascularinjectionsresultinginseizuresorcardiacarrest(n)	Obstacles:Inadequateproceduralskills	Obstacles:AvailabilityofUSequipment	Obstacles:Timepressure	Obstacles:Lackofsupportfromsurgeons	Obstacles:Lackofsupportfromotherhealthcareproviders	Obstacles:Preferenceforothernervelocalizationtechniques	Obstacles:Patientcompliance	Obstacles:Patientrefusal	Obstacles:Patientpathology	Obstacles:other	EffectiveTeachingMethods:Lectures	EffectiveTeachingMethods:Scanningonmodels	EffectiveTeachingMethods:Phantompractice	EffectiveTeachingMethods:Observation	EffectiveTeachingMethods:Onlinetutorials	EffectiveTeachingMethods:Textbooks	EffectiveTeachingMethods:Teachingbycolleagues	EffectiveTeachingMethods:Mannequinsimulation	EffectiveTeachingMethods:Cadaverlab	UsedLearningMethods:Lectures	UsedLearningMethods:Scanningonmodels	UsedLearningMethods:Phantompractice	UsedLearningMethods:Observation	UsedLearningMethods:Onlinetutorials	UsedLearningMethods:Textbooks	UsedLearningMethods:Teachingbycolleagues	UsedLearningMethods:Mannequinsimulation	UsedLearningMethods:Cadaverlab	Feedback/Comments/Suggestions:
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	1	0	2	0	0	0	0	3	4	4	5	3	3	5	5	5	0	0	0	0	0	0	0	0	0	0
30	1	0	0	1	3	0	0	1	3	0	0	1	3	0	0	3	4	0	0	1	1	0	0	1	3	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	4	0	0	0	2	3	3	3	3	2	2	2	2	0	4	4	5	4	3	5	5	5	5	0	0	0	1	0	1	0	0	0	Work part-time and had surgery with complications with a month off of work
30	2	0	0	1	3	0	0	1	3	0	0	1	3	0	0	3	3	0	0	1	2	0	0	1	3	0	0	1	2	0	0	1	3	0	0	1	3	0	0	1	3	0	0	1	3	0	0	0	3	3	4	3	2	2	2	2	3	0	4	4	4	5	3	3	5	4	4	1	0	0	0	0	0	0	0	0	Took time off of work due to having surgery himself; but stated that the workshop was helpful
30	3	0	0	1	2	0	0	1	2	0	0	1	2	0	0	3	3	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	0	3	2	3	3	3	2	3	2	2	0	4	4	4	5	3	3	5	4	5	0	0	0	0	0	0	0	0	0	Unfortunately, I had a surgery with post-op complications, limiting my work hours 
30	4	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	4	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	3	95	0	0	3	2	3	3	2	2	2	2	2	0	4	4	4	5	3	3	5	5	5	0	0	0	0	0	0	0	0	0	0
31	0	1	0	2	1	0	0	0	1	0	0	0	1	1	0	2	1	0	0	0	1	2	0	3	1	0	0	0	1	0	0	0	1	2	0	3	2	0	0	0	1	0	0	0	1	85	1	1	5	1	3	3	0	3	0	0	0	0	3	2	5	4	5	4	4	4	5	0	0	0	1	1	1	1	0	0	0
31	1	1	0	1	4	0	0	1	4	0	1	1	4	0	0	1	3	0	0	1	3	0	0	1	3	0	0	1	1	0	0	1	1	2	0	1	4	0	0	1	2	0	0	1	1	100	0	0	2	1	1	1	1	1	1	2	2	will be out until 10/25/13	4	5	5	4	5	3	5	4	4	1	1	0	1	1	0	1	0	0	0
31	2	2	0	1	3	0	0	1	3	0	1	1	3	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	1	0	0	1	2	2	0	1	3	1	0	1	1	0	0	1	1	100	0	0	2	1	3	2	1	1	2	1	1	0	3	4	5	2	3	2	4	4	5	1	1	0	1	1	1	1	0	0	A new regional service was created so is not doing as many PNB as anticipated
31	3	1	0	3	4	0	0	1	4	1	1	1	4	1	0	1	4	0	0	1	3	1	0	1	4	0	0	1	1	0	0	1	1	1	0	3	3	1	0	1	1	0	0	1	1	0	0	0	3	2	3	1	2	1	1	1	1	0	3	5	4	3	4	2	4	4	4	0	0	0	1	1	0	1	0	0	0
31	4	2	0	1	3	1	1	1	2	1	0	1	3	2	0	1	2	0	0	1	2	1	0	1	2	0	0	1	1	0	0	3	2	2	0	1	2	1	0	1	2	0	0	3	1	100	0	0	2	1	1	1	1	1	1	1	1	0	3	4	3	4	4	3	4	4	4	0	0	0	1	1	1	1	0	0	0
32	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	5	1	3	1	0	1	0	0	0	0	3	5	5	5	4	3	5	5	5	1	1	1	1	1	1	1	1	0	0
32	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	4	1	1	4	1	1	1	1	4	my group screened my technique before the class and deemed me requiring more training and no blocks scheduled as a result	3	4	4	4	4	4	4	4	4	0	0	0	0	0	0	1	0	0	Wants to shadow stanford block team and is not part of block team currently. Has added placing arterial lines using ultrasound-guidance to routine practice but self-taught
32	2	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	5	1	1	1	1	1	1	1	1	0	5	5	5	5	4	4	4	3	3	0	0	0	0	0	0	0	0	0	0
32	3	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	2	0	0	1	1	0	0	1	1	0	0	0	4	2	4	4	2	2	2	2	2	Not on block team failed clinical skill set (spoke with on 6/23/14 see below)	5	4	4	4	4	2	5	3	3	0	0	0	0	0	0	0	0	0	Would have prefered more acceptance by my group of additional training to reach sufficient skill set
32	4	0	0	1	4	0	0	1	3	0	0	1	4	0	0	1	3	0	0	1	2	0	0	1	3	0	0	1	3	0	0	1	3	0	0	1	2	0	0	1	2	0	0	1	3	0	0	0	1	1	2	2	2	1	2	2	2	Spoke with on 6/23/14 still is not part of a block team and thus, answers were clarified	4	4	4	5	4	4	5	4	4	1	0	0	1	1	1	1	0	0	0
